yyyymm,country_code,origin,rank,device,fast_fp,avg_fp,slow_fp,p75_fp,fast_fcp,avg_fcp,slow_fcp,p75_fcp,fast_dcl,avg_dcl,slow_dcl,p75_dcl,fast_ol,avg_ol,slow_ol,p75_ol,fast_fid,avg_fid,slow_fid,p75_fid,fast_ttfb,avg_ttfb,slow_ttfb,p75_ttfb,small_cls,medium_cls,large_cls,p75_cls,fast_lcp,avg_lcp,slow_lcp,p75_lcp,notification_permission_accept,notification_permission_deny,notification_permission_ignore,notification_permission_dismiss,desktopDensity,phoneDensity,tabletDensity,_4GDensity,_3GDensity,_2GDensity,slow2GDensity,offlineDensity,fast_inp,avg_inp,slow_inp,p75_inp,navigation_types_navigate,navigation_types_navigate_cache,navigation_types_reload,navigation_types_restore,navigation_types_back_forward,navigation_types_back_forward_cache,navigation_types_prerender
202401,us,https://www.newbalance.com,5000,desktop,0.1263,0.2316,0.0261,1700,0.2933,0.0679,0.0266,1700,0.197,0.1537,0.0352,2200,0.1114,0.2093,0.076,5600,0.371,0.013,0.0065,0,0.2499,0.1064,0.0204,900,0.3516,0.0095,0.0121,0.05,0.3313,0.0399,0.0161,1900,,,,,0.3878,0.0,0.0,0.3878,0.0,0.0,0.0,0.0,0.3299,0.0594,0.028,150,,,,,,,
202401,us,https://www.nike.com,1000,desktop,0.1271,0.2231,0.0299,1900,0.2702,0.0875,0.0331,2000,0.1394,0.1523,0.0891,3300,0.1394,0.1714,0.0766,5500,0.3964,0.0189,0.012,0,0.2326,0.1256,0.0158,900,0.1195,0.0455,0.1611,0.55,0.227,0.0841,0.0755,3400,0.0,0.0,0.5781,0.0,0.3908,0.0,0.0,0.3908,0.0,0.0,0.0,0.0,0.3351,0.075,0.0447,200,,,,,,,
202401,us,https://www.newbalance.com,5000,phone,0.0962,0.4445,0.0605,2100,0.3847,0.151,0.0616,2100,0.1756,0.3495,0.0748,2600,0.0711,0.3393,0.1781,7100,0.5573,0.0297,0.0085,0,0.3438,0.2143,0.0503,1100,0.5282,0.0158,0.0283,0.05,0.4812,0.0845,0.0331,2200,,,,,0.0,0.5973,0.0,0.5808,0.0165,0.0,0.0,0.0,0.3523,0.1634,0.0531,250,,,,,,,
202401,us,https://www.nike.com,1000,phone,0.1762,0.3415,0.0878,2300,0.367,0.1429,0.0852,2300,0.1428,0.2916,0.1707,3700,0.1024,0.3377,0.1581,6700,0.5135,0.0273,0.0189,0,0.3703,0.1892,0.0519,1000,0.3258,0.0137,0.2555,0.7,0.3167,0.1625,0.1197,3500,0.0,0.0,0.4219,0.0,0.0,0.5951,0.0,0.5683,0.0268,0.0,0.0,0.0,0.2759,0.1633,0.093,350,,,,,,,
202401,us,https://www.newbalance.com,5000,tablet,0.0021,0.0111,0.0015,2100,0.0088,0.0039,0.0015,2200,0.0036,0.0071,0.0028,3100,0.0016,0.0071,0.0053,9300,0.0124,0.0011,0.0002,0,0.009,0.0051,0.0009,900,0.0127,0.0003,0.0008,0.05,0.0104,0.0024,0.0008,2400,,,,,0.0,0.0,0.0142,0.0142,0.0,0.0,0.0,0.0,0.0072,0.0041,0.0029,400,,,,,,,
202401,us,https://www.nike.com,1000,tablet,0.0039,0.008,0.0019,2300,0.0083,0.0034,0.0019,2300,0.0033,0.0057,0.0048,4600,0.0027,0.0066,0.0043,7800,0.0109,0.001,0.0006,25,0.0092,0.0042,0.0009,900,0.0061,0.0006,0.0061,0.7,0.007,0.0034,0.0036,4000,,,,,0.0,0.0,0.0136,0.0136,0.0,0.0,0.0,0.0,0.0056,0.0043,0.0032,475,,,,,,,
202401,us,https://www.hoka.com,5000,desktop,0.1193,0.1678,0.0254,1700,0.241,0.0507,0.0258,1700,0.1231,0.1473,0.0485,2700,0.1395,0.1524,0.034,4300,0.2752,0.0346,0.0262,25,0.1931,0.0892,0.024,900,0.1917,0.0233,0.0373,0.1,0.1793,0.0797,0.0608,3400,,,,,0.3175,0.0,0.0,0.3175,0.0,0.0,0.0,0.0,0.2243,0.084,0.0395,275,,,,,,,
202401,us,https://www.hoka.com,5000,phone,0.119,0.4297,0.1178,2400,0.3848,0.1547,0.1217,2500,0.0823,0.344,0.2352,4200,0.0876,0.4101,0.1567,6300,0.5213,0.0575,0.0658,50,0.3454,0.2338,0.0931,1200,0.3698,0.0691,0.1716,0.25,0.2571,0.1958,0.2081,4500,0.0,0.0,1.0,0.0,0.0,0.6612,0.0,0.6405,0.0207,0.0,0.0,0.0,0.2456,0.2319,0.1555,475,,,,,,,
202401,us,https://www.hoka.com,5000,tablet,0.0032,0.0127,0.0046,2800,0.0107,0.0048,0.0051,2900,0.0019,0.0078,0.0093,5800,0.0022,0.0098,0.0073,8500,0.0146,0.0019,0.0024,75,0.0114,0.0069,0.0025,1100,0.0064,0.003,0.0039,0.15,0.0057,0.0047,0.0086,6000,,,,,0.0,0.0,0.0206,0.0206,0.0,0.0,0.0,0.0,0.0056,0.0064,0.0067,700,,,,,,,
202401,us,https://www.adidas.com,5000,desktop,0.1222,0.232,0.0592,2200,0.2614,0.0964,0.0629,2300,0.1145,0.2088,0.0915,3300,0.0995,0.2297,0.0999,6200,0.3655,0.0324,0.0355,25,0.2032,0.1261,0.0788,1500,0.2851,0.028,0.0727,0.1,0.2823,0.0766,0.0608,2900,,,,,0.4207,0.0,0.0,0.4207,0.0,0.0,0.0,0.0,0.1598,0.1149,0.2122,950,,,,,,,
