yyyymm,country_code,origin,rank,device,fast_fp,avg_fp,slow_fp,p75_fp,fast_fcp,avg_fcp,slow_fcp,p75_fcp,fast_dcl,avg_dcl,slow_dcl,p75_dcl,fast_ol,avg_ol,slow_ol,p75_ol,fast_fid,avg_fid,slow_fid,p75_fid,fast_ttfb,avg_ttfb,slow_ttfb,p75_ttfb,small_cls,medium_cls,large_cls,p75_cls,fast_lcp,avg_lcp,slow_lcp,p75_lcp,notification_permission_accept,notification_permission_deny,notification_permission_ignore,notification_permission_dismiss,desktopDensity,phoneDensity,tabletDensity,_4GDensity,_3GDensity,_2GDensity,slow2GDensity,offlineDensity,fast_inp,avg_inp,slow_inp,p75_inp,navigation_types_navigate,navigation_types_navigate_cache,navigation_types_reload,navigation_types_restore,navigation_types_back_forward,navigation_types_back_forward_cache,navigation_types_prerender
202402,us,https://www.newbalance.com,5000,desktop,0.1257,0.2133,0.0217,1700,0.2835,0.061,0.0228,1700,0.1928,0.1399,0.031,2100,0.1017,0.1954,0.0776,5800,0.3576,0.0124,0.0063,0,0.2497,0.0926,0.0149,800,0.3286,0.0096,0.0134,0.05,0.3173,0.037,0.0147,1900,,,,,0.3673,0.0,0.0,0.3673,0.0,0.0,0.0,0.0,0.3102,0.0601,0.03,175,,,,,,,
202402,us,https://www.nike.com,1000,desktop,0.1188,0.2273,0.0354,2000,0.2597,0.0925,0.035,2000,0.1505,0.1494,0.0807,3100,0.1477,0.1747,0.0709,5300,0.399,0.0187,0.0118,0,0.2247,0.1332,0.0168,1000,0.1436,0.0486,0.1244,0.4,0.226,0.0838,0.0742,3400,0.0,0.0,0.5653,0.0,0.3872,0.0,0.0,0.3872,0.0,0.0,0.0,0.0,0.34,0.0781,0.0445,200,,,,,,,
202402,us,https://www.newbalance.com,5000,phone,0.1085,0.4677,0.0629,2000,0.4208,0.1502,0.0614,2000,0.2083,0.3529,0.0743,2500,0.0815,0.3457,0.198,7200,0.5773,0.0337,0.0124,0,0.3738,0.2199,0.0485,1000,0.552,0.0176,0.0331,0.05,0.5153,0.0814,0.034,2100,,,,,0.0,0.6324,0.0,0.6141,0.0183,0.0,0.0,0.0,0.3471,0.1853,0.0672,275,,,,,,,
202402,us,https://www.nike.com,1000,phone,0.1533,0.3593,0.1054,2500,0.3451,0.162,0.1053,2500,0.1649,0.2891,0.1652,3600,0.1232,0.3293,0.1541,6500,0.5249,0.0255,0.0196,0,0.3613,0.2043,0.0597,1100,0.3365,0.0157,0.2478,0.7,0.3217,0.1622,0.132,3700,0.0,0.0,0.4347,0.0,0.0,0.6124,0.0,0.5841,0.0283,0.0,0.0,0.0,0.2899,0.1591,0.0881,350,,,,,,,
202402,us,https://www.on.com,50000,desktop,0.1015,0.1352,0.0271,1800,0.2066,0.0428,0.0282,1800,0.1935,0.0537,0.0129,1500,0.1535,0.085,0.0302,3900,0.2663,0.0094,0.004,0,0.1954,0.0481,0.0151,700,0.2109,0.0103,0.044,0.05,0.1031,0.085,0.0805,4400,,,,,0.2776,0.0,0.0,0.2776,0.0,0.0,0.0,0.0,0.1299,0.0732,0.1265,725,,,,,,,
202402,us,https://www.on.com,50000,phone,0.2144,0.4353,0.086,2000,0.4871,0.1486,0.086,2000,0.5225,0.1718,0.045,1600,0.3611,0.264,0.1056,4600,0.6609,0.0437,0.0157,0,0.505,0.1787,0.0575,900,0.4957,0.0381,0.1104,0.1,0.1752,0.2934,0.2628,4700,,,,,0.0,0.7217,0.0,0.6941,0.0276,0.0,0.0,0.0,0.2335,0.0938,0.3431,950,,,,,,,
202402,us,https://www.adidas.com,5000,desktop,0.1327,0.2225,0.0528,2100,0.2701,0.0909,0.0562,2200,0.0875,0.2088,0.1185,3700,0.1184,0.2235,0.0831,5600,0.3858,0.0229,0.0217,0,0.2114,0.1253,0.0686,1400,0.2964,0.0233,0.0774,0.1,0.2977,0.067,0.0525,2700,,,,,0.4172,0.0,0.0,0.4172,0.0,0.0,0.0,0.0,0.2436,0.1096,0.1295,525,,,,,,,
202402,us,https://www.adidas.com,5000,phone,0.1294,0.3467,0.1158,2600,0.3112,0.1551,0.1161,2600,0.054,0.2671,0.2636,4900,0.0743,0.3194,0.1812,7300,0.4637,0.0464,0.0598,50,0.2438,0.2114,0.139,1700,0.296,0.0753,0.1699,0.3,0.3717,0.1125,0.0984,3200,,,,,0.0,0.5824,0.0,0.5596,0.0228,0.0,0.0,0.0,0.1473,0.1407,0.2296,1000,,,,,,,
202402,us,https://www.underarmour.com,5000,desktop,0.1459,0.0961,0.016,1400,0.2217,0.0305,0.0161,1400,0.1678,0.0734,0.0239,1900,0.141,0.089,0.0374,4400,0.2605,0.011,0.007,0,0.2067,0.0422,0.014,700,0.1668,0.0176,0.0645,0.2,0.2042,0.0323,0.024,2200,,,,,0.2683,0.0,0.0,0.2683,0.0,0.0,0.0,0.0,0.2647,0.0389,0.0236,150,,,,,,,
202402,us,https://www.underarmour.com,5000,phone,0.3956,0.307,0.0392,1400,0.614,0.0767,0.0408,1400,0.4329,0.2365,0.0654,1900,0.4376,0.2029,0.0919,4000,0.6771,0.0336,0.0106,0,0.5518,0.1467,0.0386,800,0.4825,0.0412,0.1395,0.1,0.6135,0.0786,0.0473,2000,0.0,0.0,1.0,0.0,0.0,0.7315,0.0,0.7025,0.029,0.0,0.0,0.0,0.4757,0.1595,0.0379,200,,,,,,,
202402,us,https://www.hoka.com,5000,desktop,0.1312,0.1489,0.022,1700,0.2366,0.0447,0.0241,1700,0.1264,0.1346,0.0462,2600,0.1386,0.1441,0.0314,4200,0.2654,0.0321,0.0262,25,0.2048,0.072,0.0209,900,0.1925,0.0228,0.0335,0.1,0.1792,0.0728,0.0571,3400,,,,,0.3054,0.0,0.0,0.3054,0.0,0.0,0.0,0.0,0.218,0.0797,0.043,275,,,,,,,
202402,us,https://www.hoka.com,5000,phone,0.1634,0.4112,0.1092,2300,0.4165,0.1495,0.1146,2300,0.1016,0.3617,0.2167,4000,0.1099,0.418,0.1444,6000,0.5529,0.0587,0.0512,25,0.4063,0.2004,0.0822,1100,0.3602,0.0687,0.1964,0.3,0.2915,0.1937,0.1919,4200,0.0,0.0,1.0,0.0,0.0,0.6806,0.0,0.658,0.0226,0.0,0.0,0.0,0.2711,0.2431,0.1322,425,,,,,,,
202402,us,https://www.hoka.com,5000,tablet,0.0018,0.008,0.0039,3200,0.0058,0.0035,0.0041,3300,0.0008,0.0048,0.0074,6500,0.001,0.0059,0.0063,10500,0.0103,0.0014,0.0013,50,0.0077,0.0039,0.0016,1100,0.0042,0.0011,0.0026,0.15,0.0031,0.0034,0.0069,6500,,,,,0.0,0.0,0.0134,0.0134,0.0,0.0,0.0,0.0,0.0032,0.0044,0.0051,775,,,,,,,
